#D = 0.192000, cgrav = 12.000000, Ts = 0.0019704069123315, At = 0.0289529112545519, yt = 0.1919949445239173 
#A                  h(A)                   I(A)                  c(A)                  phi(A)                  A(phi(A))                  A(h(A))   htrue(A)
0.0000000000000000   0.0000000000000000    0.0000000000000000   0.0000000000000000   0.0000000000000000   0.0000000000000000   0.0000000000000000    0.0000000000000000
0.0000000015240085   0.0000018949578108    0.0000000000000113   0.0015417651474925   0.0046252893553252   0.0000000015240235   0.0000000015240085    0.0000018949578108
0.0000000121917790   0.0000075797564336    0.0000000000003623   0.0030835242085085   0.0092505239312211   0.0000000121918012   0.0000000121917790    0.0000075797564337
0.0000000411456298   0.0000170541714423    0.0000000000027507   0.0046252710972822   0.0138756489483985   0.0000000411456536   0.0000000411456298    0.0000170541714423
0.0000000975249915   0.0000303178288032    0.0000000000115906   0.0061669997294545   0.0185006096288899   0.0000000975250138   0.0000000975249915    0.0000303178288032
0.0000001904649638   0.0000473702048898    0.0000000000353684   0.0077087040227726   0.0231253511965415   0.0000001904649833   0.0000001904649638    0.0000473702048898
0.0000003290948731   0.0000682106265034    0.0000000000879979   0.0092503778978020   0.0277498188775628   0.0000003290948898   0.0000003290948731    0.0000682106265034
0.0000005225368309   0.0000928382709000    0.0000000001901726   0.0107920152786303   0.0323739579010873   0.0000005225368455   0.0000005225368309    0.0000928382709000
0.0000007799042933   0.0001212521658223    0.0000000003707152   0.0123336100935680   0.0369977134997426   0.0000007799043067   0.0000007799042933    0.0001212521658223
0.0000011103006217   0.0001534511895384    0.0000000006679234   0.0138751562758585   0.0416210309102507   0.0000011103006347   0.0000011103006217    0.0001534511895384
0.0000015228176454   0.0001894340708859    0.0000000011309120   0.0154166477643807   0.0462438553740123   0.0000015228176586   0.0000015228176454    0.0001894340708859
0.0000020265342258   0.0002291993893224    0.0000000018209496   0.0169580785043589   0.0508661321377100   0.0000020265342396   0.0000020265342258    0.0002291993893224
0.0000026305148232   0.0002727455749810    0.0000000028127909   0.0184994424480683   0.0554878064538981   0.0000026305148372   0.0000026305148232    0.0002727455749811
0.0000033438080645   0.0003200709087331    0.0000000041960023   0.0200407335555443   0.0601088235815967   0.0000033438080784   0.0000033438080645    0.0003200709087331
0.0000041754453155   0.0003711735222554    0.0000000060762816   0.0215819457952911   0.0647291287868815   0.0000041754453282   0.0000041754453155    0.0003711735222554
0.0000051344392535   0.0004260513981043    0.0000000085767704   0.0231230731449941   0.0693486673434784   0.0000051344392642   0.0000051344392535    0.0004260513981043
0.0000062297824451   0.0004847023697952    0.0000000118393591   0.0246641095922289   0.0739673845333445   0.0000062297824527   0.0000062297824451    0.0004847023697952
0.0000074704459256   0.0005471241218881    0.0000000160259836   0.0262050491351764   0.0785852256472604   0.0000074704459292   0.0000074704459256    0.0005471241218881
0.0000088653777827   0.0006133141900792    0.0000000213199136   0.0277458857833353   0.0832021359854117   0.0000088653777814   0.0000088653777827    0.0006133141900792
0.0000104235017431   0.0006832699612979    0.0000000279270308   0.0292866135582384   0.0878180608579772   0.0000104235017363   0.0000104235017431    0.0006832699612979
0.0000121537157637   0.0007569886738101    0.0000000360770983   0.0308272264941694   0.0924329455857145   0.0000121537157512   0.0000121537157637    0.0007569886738101
0.0000140648906265   0.0008344674173274    0.0000000460250188   0.0323677186388812   0.0970467355005437   0.0000140648906083   0.0000140648906265    0.0008344674173274
0.0000161658685374   0.0009157031331215    0.0000000580520823   0.0339080840543165   0.1016593759461357   0.0000161658685139   0.0000161658685374    0.0009157031331215
0.0000184654617306   0.0010006926141455    0.0000000724672017   0.0354483168173290   0.1062708122784986   0.0000184654617023   0.0000184654617306    0.0010006926141455
0.0000209724510762   0.0010894325051603    0.0000000896081374   0.0369884110204081   0.1108809898665648   0.0000209724510441   0.0000209724510762    0.0010894325051602
0.0000236955846944   0.0011819193028668    0.0000001098427081   0.0385283607724042   0.1154898540927819   0.0000236955846595   0.0000236955846944    0.0011819193028668
0.0000266435765735   0.0012781493560447    0.0000001335699893   0.0400681601992559   0.1200973503536983   0.0000266435765371   0.0000266435765735    0.0012781493560447
0.0000298251051942   0.0013781188656962    0.0000001612214976   0.0416078034447207   0.1247034240605572   0.0000298251051576   0.0000298251051942    0.0013781188656962
0.0000332488121589   0.0014818238851963    0.0000001932623615   0.0431472846711066   0.1293080206398845   0.0000332488121234   0.0000332488121589    0.0014818238851963
0.0000369233008274   0.0015892603204484    0.0000002301924764   0.0446865980600062   0.1339110855340805   0.0000369233007942   0.0000369233008274    0.0015892603204483
0.0000408571349580   0.0017004239300459    0.0000002725476458   0.0462257378130340   0.1385125642020134   0.0000408571349283   0.0000408571349580    0.0017004239300459
0.0000450588373555   0.0018153103254399    0.0000003209007051   0.0477646981525651   0.1431124021196088   0.0000450588373302   0.0000450588373555    0.0018153103254399
0.0000495368885251   0.0019339149711123    0.0000003758626310   0.0493034733224772   0.1477105447804436   0.0000495368885049   0.0000495368885251    0.0019339149711123
0.0000542997253334   0.0020562331847547    0.0000004380836323   0.0508420575888951   0.1523069376963380   0.0000542997253188   0.0000542997253334    0.0020562331847547
0.0000593557396758   0.0021822601374534    0.0000005082542249   0.0523804452409379   0.1569015263979484   0.0000593557396672   0.0000593557396758    0.0021822601374534
0.0000647132771520   0.0023119908538802    0.0000005871062886   0.0539186305914689   0.1614942564353603   0.0000647132771493   0.0000647132771520    0.0023119908538802
0.0000703806357473   0.0024454202124886    0.0000006754141052   0.0554566079778493   0.1660850733786808   0.0000703806357504   0.0000703806357473    0.0024454202124886
0.0000763660645229   0.0025825429457158    0.0000007739953788   0.0569943717626935   0.1706739228186318   0.0000763660645313   0.0000763660645229    0.0025825429457159
0.0000826777623129   0.0027233536401913    0.0000008837122364   0.0585319163346290   0.1752607503671433   0.0000826777623259   0.0000826777623129    0.0027233536401913
0.0000893238764299   0.0028678467369498    0.0000010054722089   0.0600692361090588   0.1798455016579469   0.0000893238764467   0.0000893238764299    0.0028678467369498
0.0000963125013780   0.0030160165316514    0.0000011402291924   0.0616063255289274   0.1844281223471684   0.0000963125013977   0.0000963125013780    0.0030160165316514
0.0001036516775751   0.0031678571748062    0.0000012889843889   0.0631431790654901   0.1890085581139227   0.0001036516775969   0.0001036516775751    0.0031678571748062
0.0001113493900830   0.0033233626720057    0.0000014527872257   0.0646797912190862   0.1935867546609062   0.0001113493901057   0.0001113493900830    0.0033233626720057
0.0001194135673464   0.0034825268841590    0.0000016327362537   0.0662161565199153   0.1981626577149922   0.0001194135673691   0.0001194135673464    0.0034825268841591
0.0001278520799409   0.0036453435277357    0.0000018299800244   0.0677522695288180   0.2027362130278249   0.0001278520799626   0.0001278520799409    0.0036453435277358
0.0001366727393303   0.0038118061750134    0.0000020457179438   0.0692881248380605   0.2073073663764150   0.0001366727393501   0.0001366727393303    0.0038118061750135
